         1584889 function calls (1445912 primitive calls) in 5.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3807/2632    0.027    0.000    0.106    0.000 _generate_schema.py:2380(_extract_get_pydantic_json_schema)
      101    0.001    0.000    0.106    0.001 _generate_schema.py:2130(new_handler)
        2    0.000    0.000    0.106    0.053 config.py:1(<module>)
       11    0.001    0.000    0.103    0.009 utils.py:1(<module>)
    23924    0.068    0.000    0.103    0.000 typing.py:1765(__eq__)
      615    0.021    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     9347    0.033    0.000    0.100    0.000 typing.py:1358(__getattr__)
      909    0.004    0.000    0.098    0.000 typing.py:580(__getitem__)
     2145    0.026    0.000    0.094    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.094    0.094 asyncpg.py:1(<module>)
  659/656    0.005    0.000    0.093    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      101    0.000    0.000    0.092    0.001 _generate_schema.py:2127(<lambda>)
      187    0.008    0.000    0.089    0.000 langhelpers.py:249(decorate)
       26    0.000    0.000    0.083    0.003 routing.py:881(add_api_route)
       26    0.001    0.000    0.082    0.003 routing.py:429(__init__)
        1    0.000    0.000    0.082    0.082 core_schema.py:1(<module>)
        3    0.000    0.000    0.082    0.027 concurrency.py:1(<module>)
       63    0.005    0.000    0.081    0.001 _schema_validator.py:21(create_schema_validator)
     1746    0.015    0.000    0.079    0.000 typing.py:1307(__init__)
        2    0.000    0.000    0.078    0.039 datastructures.py:1(<module>)
        2    0.000    0.000    0.077    0.039 compat.py:1(<module>)
      615    0.077    0.000    0.077    0.000 {built-in method marshal.loads}
    51448    0.075    0.000    0.075    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.074    0.037 schema.py:1(<module>)
        1    0.000    0.000    0.074    0.074 _model_construction.py:1(<module>)
        1    0.000    0.000    0.071    0.071 _generate_schema.py:1(<module>)
     1361    0.021    0.000    0.070    0.000 <frozen importlib._bootstrap>:304(acquire)
       50    0.005    0.000    0.069    0.001 _model_construction.py:357(inspect_namespace)
     4809    0.022    0.000    0.069    0.000 _typing_extra.py:99(is_annotated)
12063/11845    0.025    0.000    0.069    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.069    0.035 session.py:1(<module>)
        8    0.001    0.000    0.069    0.009 _generate_schema.py:1376(_typed_dict_schema)
4313/3983    0.022    0.000    0.068    0.000 {built-in method __new__ of type object at 0x7e4784ad7380}
     5984    0.038    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
    33558    0.056    0.000    0.066    0.000 _core_utils.py:180(_copy_schema)
        1    0.000    0.000    0.065    0.065 postgres.py:135(register_default_adapters)
       77    0.008    0.000    0.065    0.001 typing.py:3142(__new__)
    15011    0.043    0.000    0.064    0.000 _parser.py:260(get)
        1    0.000    0.000    0.062    0.062 mapper.py:1(<module>)
37270/35211    0.056    0.000    0.062    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.060    0.020 exc.py:1(<module>)
      361    0.007    0.000    0.059    0.000 typing.py:1207(_generic_class_getitem)
      304    0.003    0.000    0.059    0.000 typing.py:1634(__getitem__)
      293    0.002    0.000    0.058    0.000 typing.py:2267(Annotated)
        2    0.000    0.000    0.058    0.029 fields.py:1(<module>)
        1    0.000    0.000    0.057    0.057 _orm_constructors.py:1(<module>)
        1    0.001    0.001    0.057    0.057 selectable.py:1(<module>)
  569/518    0.002    0.000    0.057    0.000 _core_utils.py:246(handle_list_schema)
      659    0.012    0.000    0.057    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    12709    0.037    0.000    0.056    0.000 _parser.py:167(__getitem__)
      669    0.004    0.000    0.055    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       32    0.000    0.000    0.054    0.002 _generate_schema.py:1045(_generate_td_field_schema)
     5010    0.016    0.000    0.054    0.000 contextlib.py:145(__exit__)
    36724    0.054    0.000    0.054    0.000 {method 'startswith' of 'str' objects}
     1230    0.013    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      413    0.002    0.000    0.052    0.000 typing.py:1658(copy_with)
      162    0.001    0.000    0.052    0.000 typing.py:806(Optional)
      692    0.003    0.000    0.051    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.001    0.001    0.050    0.050 pg_catalog.py:1(<module>)
       94    0.001    0.000    0.050    0.001 base.py:264(_generative)
     1732    0.005    0.000    0.050    0.000 typing.py:789(<genexpr>)
        2    0.001    0.000    0.049    0.025 expression.py:1(<module>)
    59/26    0.001    0.000    0.049    0.002 utils.py:265(get_dependant)
        4    0.000    0.000    0.048    0.012 routing.py:1122(include_router)
     4283    0.015    0.000    0.047    0.000 typing.py:164(_type_convert)
    11049    0.031    0.000    0.047    0.000 _core_utils.py:107(get_ref)
        1    0.000    0.000    0.047    0.047 cookiejar.py:1(<module>)
        3    0.000    0.000    0.046    0.015 api.py:1(<module>)
      712    0.032    0.000    0.045    0.000 _compiler.py:241(_optimize_charset)
        3    0.001    0.000    0.045    0.015 main.py:498(__new__)
     1199    0.015    0.000    0.044    0.000 _generate_schema.py:832(_get_args_resolving_forward_refs)
       13    0.000    0.000    0.044    0.003 base.py:240(__init_subclass__)
       13    0.002    0.000    0.044    0.003 base.py:278(_create_dispatcher_class)
    10217    0.029    0.000    0.044    0.000 typing.py:1437(__eq__)
        1    0.000    0.000    0.043    0.043 misc.py:1(<module>)
  263/255    0.003    0.000    0.043    0.000 base.py:1317(_set_parent_with_dispatch)
      759    0.004    0.000    0.043    0.000 <frozen abc>:105(__new__)
     5011    0.017    0.000    0.042    0.000 contextlib.py:303(helper)
        4    0.000    0.000    0.042    0.010 abc.py:1(<module>)
     9776    0.027    0.000    0.041    0.000 typing.py:1096(__eq__)
       91    0.006    0.000    0.041    0.000 enum.py:498(__new__)
     9690    0.027    0.000    0.041    0.000 <frozen importlib._bootstrap>:645(parent)
     9455    0.027    0.000    0.041    0.000 _typing_extra.py:209(is_type_alias_type)
      331    0.016    0.000    0.041    0.000 fields.py:202(__init__)
        1    0.000    0.000    0.040    0.040 attributes.py:1(<module>)
        1    0.000    0.000    0.040    0.040 validate_email.py:1(<module>)
      104    0.001    0.000    0.040    0.000 attr.py:135(__init__)
     1223    0.008    0.000    0.039    0.000 typing.py:1256(_generic_init_subclass)
      293    0.002    0.000    0.039    0.000 typing.py:2226(__init__)
     5138    0.017    0.000    0.039    0.000 _utils.py:97(lenient_issubclass)
     2547    0.011    0.000    0.038    0.000 typing.py:1122(_is_unpacked_typevartuple)
       63    0.001    0.000    0.038    0.001 _loader.py:21(get_plugins)
        1    0.000    0.000    0.037    0.037 syntax.py:1(<module>)
      753    0.007    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
       13    0.004    0.000    0.037    0.003 enum.py:894(_convert_)
    21377    0.036    0.000    0.037    0.000 _typing_extra.py:44(_is_typing_name)
       10    0.000    0.000    0.037    0.004 routing.py:993(decorator)
        1    0.000    0.000    0.036    0.036 __init__.py:50(import_from_libpq)
        1    0.000    0.000    0.036    0.036 ddl.py:1(<module>)
        1    0.000    0.000    0.036    0.036 _loader.py:1(<module>)
     2380    0.013    0.000    0.036    0.000 _typing_extra.py:357(is_namedtuple)
        3    0.000    0.000    0.036    0.012 _typing.py:1(<module>)
       85    0.000    0.000    0.035    0.000 dataclasses.py:1277(dataclass)
        2    0.000    0.000    0.035    0.018 datetime.py:1(<module>)
     1270    0.003    0.000    0.035    0.000 <frozen importlib._bootstrap>:632(cached)
      104    0.001    0.000    0.035    0.000 legacy.py:220(_augment_fn_docs)
      547    0.003    0.000    0.035    0.000 typing.py:2054(__new__)
      923    0.007    0.000    0.035    0.000 _generate_schema.py:1985(_get_prepare_pydantic_annotations_for_known_type)
        1    0.000    0.000    0.035    0.035 _fileio.py:1(<module>)
        3    0.000    0.000    0.035    0.012 __init__.py:980(version)
        1    0.000    0.000    0.035    0.035 main.py:147(__init__)
        1    0.000    0.000    0.035    0.035 main.py:231(_settings_build_values)
        1    0.000    0.000    0.034    0.034 _decorators.py:1(<module>)
        1    0.000    0.000    0.034    0.034 sources.py:1(<module>)
        1    0.000    0.000    0.034    0.034 properties.py:1(<module>)
      189    0.004    0.000    0.034    0.000 langhelpers.py:544(format_argspec_plus)
