         1584889 function calls (1445912 primitive calls) in 5.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1326(_is_dataclass_instance)
        2    0.000    0.000    0.000    0.000 contextlib.py:485(__init__)
        1    0.000    0.000    0.000    0.000 abc.py:314(Conninfo)
        1    0.000    0.000    0.000    0.000 _synchronization.py:350(Semaphore)
        1    0.000    0.000    0.000    0.000 abc.py:80(ResourceLoader)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:131(splitdrive)
        1    0.000    0.000    0.000    0.000 numeric.py:324(NumericBinaryLoader)
        1    0.000    0.000    0.000    0.000 ssl_.py:56(_is_has_never_check_common_name_reliable)
        1    0.000    0.000    0.000    0.000 _json.py:7(_CompactJSON)
        1    0.000    0.000    0.000    0.000 __init__.py:357(_MarkupEscapeHelper)
        1    0.000    0.000    0.000    0.000 context.py:700(ORMFromStatementCompileState)
        1    0.000    0.000    0.000    0.000 selectable.py:3444(ScalarValues)
        1    0.000    0.000    0.000    0.000 functions.py:1789(session_user)
        1    0.000    0.000    0.000    0.000 attr.py:113(_ClsLevelDispatch)
        1    0.000    0.000    0.000    0.000 networks.py:874(MariaDBDsn)
        1    0.000    0.000    0.000    0.000 _synchronization.py:110(EventAdapter)
        1    0.000    0.000    0.000    0.000 datastructures.py:248(ImmutableMultiDict)
        1    0.000    0.000    0.000    0.000 datastructures.py:409(UploadFile)
        1    0.000    0.000    0.000    0.000 types.py:1398(Json)
        1    0.000    0.000    0.000    0.000 fields.py:1111(ModelPrivateAttr)
        1    0.000    0.000    0.000    0.000 _docs_extraction.py:11(DocstringVisitor)
        1    0.000    0.000    0.000    0.000 quopri.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unix_events.py:1012(BaseChildWatcher)
        1    0.000    0.000    0.000    0.000 schema.py:2969(_get_colspec)
        1    0.000    0.000    0.000    0.000 hmac.py:27(HMAC)
        2    0.000    0.000    0.000    0.000 core_schema.py:397(to_string_ser_schema)
        2    0.000    0.000    0.000    0.000 decl_base.py:599(_cls_attr_override_checker)
        1    0.000    0.000    0.000    0.000 _collections.py:63(RecentlyUsedContainer)
        1    0.000    0.000    0.000    0.000 characteristics.py:116(LoggingTokenCharacteristic)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_128}
        1    0.000    0.000    0.000    0.000 util.py:59(TransactionalContext)
        3    0.000    0.000    0.000    0.000 _compat.py:106(type_)
        1    0.000    0.000    0.000    0.000 typing.py:2630(no_type_check)
        1    0.000    0.000    0.000    0.000 strategy_options.py:1338(_WildcardLoad)
        1    0.000    0.000    0.000    0.000 calendar.py:200(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:449(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 _copy_base.py:58(BaseCopy)
        1    0.000    0.000    0.000    0.000 signer.py:48(HMACAlgorithm)
        1    0.000    0.000    0.000    0.000 context.py:3112(_ORMColumnEntity)
        1    0.000    0.000    0.000    0.000 strategy_options.py:1879(_AttributeStrategyLoad)
        1    0.000    0.000    0.000    0.000 interfaces.py:149(_IntrospectsAnnotations)
        1    0.000    0.000    0.000    0.000 base.py:2092(ReadOnlyColumnCollection)
        3    0.000    0.000    0.000    0.000 attr.py:242(for_modify)
        1    0.000    0.000    0.000    0.000 log.py:108(InstanceLogger)
        1    0.000    0.000    0.000    0.000 colorsys.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datastructures.py:485(Headers)
        1    0.000    0.000    0.000    0.000 _synchronization.py:434(SemaphoreAdapter)
        1    0.000    0.000    0.000    0.000 _common.py:127(_TZifHeader)
        1    0.000    0.000    0.000    0.000 queues.py:298(LifoQueue)
        1    0.000    0.000    0.000    0.000 core_schema.py:47(CoreConfig)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        2    0.000    0.000    0.000    0.000 __init__.py:451(__init__)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:53(normcase)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
        2    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:70(AdaptContext)
        1    0.000    0.000    0.000    0.000 named_types.py:156(EnumDropper)
        1    0.000    0.000    0.000    0.000 json.py:178(Comparator)
        1    0.000    0.000    0.000    0.000 routing.py:208(Route)
        1    0.000    0.000    0.000    0.000 _mock_val_ser.py:21(MockCoreSchema)
        1    0.000    0.000    0.000    0.000 _decorators.py:206(__getattr__)
        1    0.000    0.000    0.000    0.000 parse.py:136(_ResultMixinStr)
        1    0.000    0.000    0.000    0.000 config.py:34(ConfigDict)
        1    0.000    0.000    0.000    0.000 errors.py:252(Error)
        1    0.000    0.000    0.000    0.000 mapped_collection.py:91(_SerializableColumnGetterV2)
        1    0.000    0.000    0.000    0.000 sqltypes.py:1790(PickleType)
        1    0.000    0.000    0.000    0.000 result.py:2198(IteratorResult)
        1    0.000    0.000    0.000    0.000 networks.py:981(NameEmail)
        1    0.000    0.000    0.000    0.000 networks.py:936(EmailStr)
        1    0.000    0.000    0.000    0.000 types.py:2318(EncoderProtocol)
        1    0.000    0.000    0.000    0.000 __init__.py:821(Prepared)
        1    0.000    0.000    0.000    0.000 <string>:24(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:1210(_ZipWriteFile)
        1    0.000    0.000    0.000    0.000 core_schema.py:166(ValidationInfo)
        1    0.000    0.000    0.000    0.000 errors.py:100(PydanticUndefinedAnnotation)
        1    0.000    0.000    0.000    0.000 subprocess.py:106(_del_safe)
        1    0.000    0.000    0.000    0.000 events.py:632(AbstractEventLoopPolicy)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_384}
        1    0.000    0.000    0.000    0.000 ssl.py:394(_ASN1Object)
        1    0.000    0.000    0.000    0.000 typing.py:1114(__repr__)
        1    0.000    0.000    0.000    0.000 _adapters.py:16(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:413(PyDLL)
        1    0.000    0.000    0.000    0.000 ranges.py:790(comparator_factory)
        1    0.000    0.000    0.000    0.000 asyncpg.py:615(AsyncAdapt_asyncpg_ss_cursor)
        1    0.000    0.000    0.000    0.000 clsregistry.py:413(_class_resolver)
        1    0.000    0.000    0.000    0.000 cursor.py:1335(_NoResultMetaData)
        1    0.000    0.000    0.000    0.000 utils.py:677(Cycler)
        2    0.000    0.000    0.000    0.000 mapper.py:4415(__init__)
        1    0.000    0.000    0.000    0.000 schema.py:3336(DefaultGenerator)
        1    0.000    0.000    0.000    0.000 schema.py:5129(Index)
        1    0.000    0.000    0.000    0.000 util.py:615(_repr_params)
        3    0.000    0.000    0.000    0.000 api.py:126(listens_for)
        1    0.000    0.000    0.000    0.000 multipart.py:1472(FormParser)
        2    0.000    0.000    0.000    0.000 langhelpers.py:350(__init__)
        1    0.000    0.000    0.000    0.000 _synchronization.py:196(LockAdapter)
        2    0.000    0.000    0.000    0.000 decl_base.py:1823(_setup_inheriting_columns)
        1    0.000    0.000    0.000    0.000 exceptions.py:295(ProxySchemeUnknown)
        1    0.000    0.000    0.000    0.000 dependency.py:985(ManyToManyDP)
        2    0.000    0.000    0.000    0.000 row.py:180(_special_name_accessor)
        1    0.000    0.000    0.000    0.000 shlex.py:19(shlex)
        1    0.000    0.000    0.000    0.000 functional_validators.py:154(PlainValidator)
        1    0.000    0.000    0.000    0.000 _decorators.py:160(PydanticDescriptorProxy)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_512}
        2    0.000    0.000    0.000    0.000 _fields.py:60(__init__)
        1    0.000    0.000    0.000    0.000 request.py:1374(HTTPCookieProcessor)
        1    0.000    0.000    0.000    0.000 sessions.py:106(SessionRedirectMixin)
        1    0.000    0.000    0.000    0.000 connectionpool.py:963(HTTPSConnectionPool)
        2    0.000    0.000    0.000    0.000 sql.py:53(__init__)
        1    0.000    0.000    0.000    0.000 functions.py:1803(user)
        1    0.000    0.000    0.000    0.000 attr.py:512(_ListenerCollection)
        1    0.000    0.000    0.000    0.000 context.py:376(default_compile_options)
        1    0.000    0.000    0.000    0.000 main.py:36(SettingsConfigDict)
        1    0.000    0.000    0.000    0.000 structures.py:83(LookupDict)
        1    0.000    0.000    0.000    0.000 none.py:13(NoneDumper)
        1    0.000    0.000    0.000    0.000 _wrappers.py:68(IntNumeric)
        1    0.000    0.000    0.000    0.000 string.py:176(ByteaLoader)
        1    0.000    0.000    0.000    0.000 pg8000.py:209(_PGInterval)
        1    0.000    0.000    0.000    0.000 writeonly.py:555(WriteOnlyCollection)
        1    0.000    0.000    0.000    0.000 context.py:2783(_BundleEntity)
        1    0.000    0.000    0.000    0.000 selectable.py:5179(_MemoizedSelectEntities)
        1    0.000    0.000    0.000    0.000 coercions.py:746(ExpressionElementImpl)
        1    0.000    0.000    0.000    0.000 langhelpers.py:1991(EnsureKWArg)
        2    0.000    0.000    0.000    0.000 langhelpers.py:1348(bool_or_str)
        1    0.000    0.000    0.000    0.000 base.py:110(_ConnDialect)
        1    0.000    0.000    0.000    0.000 base.py:127(_DefaultDescriptionTuple)
        1    0.000    0.000    0.000    0.000 cookies.py:444(BaseCookie)
        1    0.000    0.000    0.000    0.000 networks.py:70(UrlConstraints)
        1    0.000    0.000    0.000    0.000 networks.py:1146(IPvAnyInterface)
        1    0.000    0.000    0.000    0.000 types.py:403(__hash__)
        1    0.000    0.000    0.000    0.000 types.py:2395(Base64UrlEncoder)
        1    0.000    0.000    0.000    0.000 base.py:2816(PGInspector)
        1    0.000    0.000    0.000    0.000 nodes.py:1083(MarkSafe)
        1    0.000    0.000    0.000    0.000 events.py:3062(QueryEvents)
        1    0.000    0.000    0.000    0.000 attributes.py:1205(ScalarAttributeImpl)
        1    0.000    0.000    0.000    0.000 context.py:2516(_QueryEntity)
        1    0.000    0.000    0.000    0.000 result.py:247(SimpleResultMetaData)
        1    0.000    0.000    0.000    0.000 exc.py:43(HasDescriptionCode)
        1    0.000    0.000    0.000    0.000 datastructures.py:562(MutableHeaders)
        1    0.000    0.000    0.000    0.000 abc.py:149(ExecutionLoader)
        1    0.000    0.000    0.000    0.000 random.py:225(__init_subclass__)
        1    0.000    0.000    0.000    0.000 functional_validators.py:87(BeforeValidator)
        2    0.000    0.000    0.000    0.000 __init__.py:301(get_preferred_scheme)
        1    0.000    0.000    0.000    0.000 _request_methods.py:20(RequestMethods)
        1    0.000    0.000    0.000    0.000 array.py:48(array)
        1    0.000    0.000    0.000    0.000 sources.py:737(EnvSettingsSource)
        1    0.000    0.000    0.000    0.000 nodes.py:393(Block)
        1    0.000    0.000    0.000    0.000 descriptor_props.py:91(DescriptorProperty)
        1    0.000    0.000    0.000    0.000 base.py:732(Generative)
        1    0.000    0.000    0.000    0.000 visitors.py:595(ExternallyTraversible)
        1    0.000    0.000    0.000    0.000 langhelpers.py:1595(symbol)
        1    0.000    0.000    0.000    0.000 interfaces.py:282(ReflectedIdentity)
        1    0.000    0.000    0.000    0.000 datastructures.py:317(MultiDict)
        1    0.000    0.000    0.000    0.000 _base.py:96(_FirstCompletedWaiter)
        1    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
        2    0.000    0.000    0.000    0.000 decl_base.py:1054(_setup_dataclasses_transforms)
        2    0.000    0.000    0.000    0.000 weakref.py:133(__getitem__)
        1    0.000    0.000    0.000    0.000 networks.py:1080(IPvAnyAddress)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:13(BaseSubprocessTransport)
        1    0.000    0.000    0.000    0.000 __init__.py:554(Formatter)
        1    0.000    0.000    0.000    0.000 dml.py:1698(Delete)
        1    0.000    0.000    0.000    0.000 psycopg.py:631(AsyncAdapt_psycopg_ss_cursor)
        1    0.000    0.000    0.000    0.000 mapped_collection.py:201(_AttrGetter)
        1    0.000    0.000    0.000    0.000 compiler.py:970(_CompileLabel)
        1    0.000    0.000    0.000    0.000 compiler.py:471(_InsertManyValues)
        1    0.000    0.000    0.000    0.000 traversals.py:385(_GetChildrenTraversal)
        1    0.000    0.000    0.000    0.000 base.py:93(BaseHTTPMiddleware)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _signature.py:17(_HAS_DEFAULT_FACTORY_CLASS)
        1    0.000    0.000    0.000    0.000 warnings.py:518(deprecated)
        2    0.000    0.000    0.000    0.000 langhelpers.py:1837(tag_method_for_warnings)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_char_p)
        1    0.000    0.000    0.000    0.000 abc.py:285(PGcancelConn)
        1    0.000    0.000    0.000    0.000 named_types.py:382(DOMAIN)
        1    0.000    0.000    0.000    0.000 base.py:570(InspectionAttr)
        1    0.000    0.000    0.000    0.000 selectable.py:1789(Alias)
        1    0.000    0.000    0.000    0.000 errors.py:128(ServerErrorMiddleware)
        1    0.000    0.000    0.000    0.000 _synchronization.py:80(Event)
        1    0.000    0.000    0.000    0.000 functional_validators.py:798(SkipValidation)
        1    0.000    0.000    0.000    0.000 _known_annotated_metadata.py:145(_get_at_to_constraint_map)
        1    0.000    0.000    0.000    0.000 header.py:175(Header)
        1    0.000    0.000    0.000    0.000 ast.py:1831(__getattr__)
        1    0.000    0.000    0.000    0.000 transaction.py:52(BaseTransaction)
        1    0.000    0.000    0.000    0.000 relationships.py:3459(_ColInAnnotations)
        1    0.000    0.000    0.000    0.000 attributes.py:569(AdHocHasEntityNamespace)
        1    0.000    0.000    0.000    0.000 attributes.py:1308(ScalarObjectAttributeImpl)
        1    0.000    0.000    0.000    0.000 base.py:112(PassiveFlag)
        1    0.000    0.000    0.000    0.000 lambdas.py:655(NullLambdaStatement)
        1    0.000    0.000    0.000    0.000 elements.py:3796(AsBoolean)
        1    0.000    0.000    0.000    0.000 elements.py:4024(GroupedElement)
        1    0.000    0.000    0.000    0.000 networks.py:1185(IPvAnyNetwork)
        1    0.000    0.000    0.000    0.000 types.py:3205(_OnErrorOmit)
        1    0.000    0.000    0.000    0.000 errors.py:97(NonPrintableDefect)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
        2    0.000    0.000    0.000    0.000 {built-in method sys.exception}
        1    0.000    0.000    0.000    0.000 response.py:37(addclosehook)
        1    0.000    0.000    0.000    0.000 request.py:594(HTTPErrorProcessor)
        1    0.000    0.000    0.000    0.000 calendar.py:46(__getattr__)
        1    0.000    0.000    0.000    0.000 named_types.py:31(NamedType)
        1    0.000    0.000    0.000    0.000 parser.py:40(Position)
        1    0.000    0.000    0.000    0.000 bulk_persistence.py:635(default_update_options)
        1    0.000    0.000    0.000    0.000 attributes.py:763(AttributeEventToken)
        1    0.000    0.000    0.000    0.000 ddl.py:418(_CreateDropBase)
        1    0.000    0.000    0.000    0.000 base.py:1356(_ColumnMetrics)
        1    0.000    0.000    0.000    0.000 interfaces.py:2660(CreateEnginePlugin)
        1    0.000    0.000    0.000    0.000 websockets.py:25(WebSocket)
        1    0.000    0.000    0.000    0.000 stapled.py:22(StapledByteStream)
        1    0.000    0.000    0.000    0.000 glob.py:8(Translator)
        1    0.000    0.000    0.000    0.000 tempfile.py:432(_TemporaryFileCloser)
        1    0.000    0.000    0.000    0.000 types.py:2162(PastDate)
        1    0.000    0.000    0.000    0.000 taskgroups.py:12(TaskGroup)
        1    0.000    0.000    0.000    0.000 ssl.py:159(TLSVersion)
        1    0.000    0.000    0.000    0.000 threading.py:141(_RLock)
        1    0.000    0.000    0.000    0.000 request.py:396(OpenerDirector)
        1    0.000    0.000    0.000    0.000 _typemod.py:78(TimeTypeModifier)
        2    0.000    0.000    0.000    0.000 __init__.py:454(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_wchar_p)
        1    0.000    0.000    0.000    0.000 result.py:1682(ScalarResult)
        1    0.000    0.000    0.000    0.000 row.py:328(RowMapping)
        1    0.000    0.000    0.000    0.000 cursor.py:1055(CursorFetchStrategy)
        1    0.000    0.000    0.000    0.000 lambdas.py:1081(NonAnalyzedFunction)
        1    0.000    0.000    0.000    0.000 util.py:552(_repr_base)
        1    0.000    0.000    0.000    0.000 interfaces.py:109(DBAPIConnection)
        1    0.000    0.000    0.000    0.000 base.py:2872(TwoPhaseTransaction)
        1    0.000    0.000    0.000    0.000 stapled.py:94(MultiListener)
        1    0.000    0.000    0.000    0.000 _synchronization.py:148(Lock)
        1    0.000    0.000    0.000    0.000 types.py:2534(EncodedStr)
        1    0.000    0.000    0.000    0.000 functional_validators.py:252(WrapValidator)
        1    0.000    0.000    0.000    0.000 fields.py:1230(ComputedFieldInfo)
        3    0.000    0.000    0.000    0.000 _model_construction.py:69(NoInitField)
        1    0.000    0.000    0.000    0.000 _base.py:111(_AllCompletedWaiter)
        2    0.000    0.000    0.000    0.000 _parser.py:102(checklookbehindgroup)
        2    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
        1    0.000    0.000    0.000    0.000 structures.py:86(__init__)
        1    0.000    0.000    0.000    0.000 range.py:287(BaseRangeDumper)
        1    0.000    0.000    0.000    0.000 _copy_async.py:31(AsyncCopy)
        1    0.000    0.000    0.000    0.000 url_safe.py:72(URLSafeSerializer)
        1    0.000    0.000    0.000    0.000 identity.py:126(WeakInstanceDict)
        2    0.000    0.000    0.000    0.000 mapper.py:3559(_identity_key_props)
        1    0.000    0.000    0.000    0.000 context.py:2913(_ColumnEntity)
        1    0.000    0.000    0.000    0.000 default.py:1166(StrCompileDialect)
        1    0.000    0.000    0.000    0.000 functions.py:817(ScalarFunctionColumn)
        1    0.000    0.000    0.000    0.000 base.py:76(_DispatchCommon)
        2    0.000    0.000    0.000    0.000 visitors.py:561(<genexpr>)
        1    0.000    0.000    0.000    0.000 platform.py:865(_Processor)
        1    0.000    0.000    0.000    0.000 compat.py:56(FullArgSpec)
        1    0.000    0.000    0.000    0.000 langhelpers.py:1137(_memoized_property)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.000    0.000 stapled.py:58(StapledObjectStream)
        1    0.000    0.000    0.000    0.000 exceptions.py:23(WebSocketException)
        1    0.000    0.000    0.000    0.000 types.py:2435(EncodedBytes)
        1    0.000    0.000    0.000    0.000 _schema_generation_shared.py:66(CallbackGetCoreSchemaHandler)
        1    0.000    0.000    0.000    0.000 transports.py:9(BaseTransport)
        2    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 {method 'difference' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 poolmanager.py:56(PoolKey)
        1    0.000    0.000    0.000    0.000 probe.py:13(__init__)
        1    0.000    0.000    0.000    0.000 _wrappers.py:14(Int2)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 iterators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:281(SelectSelector)
        2    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        2    0.000    0.000    0.000    0.000 calendar.py:120(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_long)
        1    0.000    0.000    0.000    0.000 sources.py:2198(AzureKeyVaultMapping)
        1    0.000    0.000    0.000    0.000 _typing.py:96(_HasDialect)
        1    0.000    0.000    0.000    0.000 base.py:359(_DialectArgView)
        1    0.000    0.000    0.000    0.000 feedparser.py:46(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 datastructures.py:176(DefaultPlaceholder)
        1    0.000    0.000    0.000    0.000 types.py:2943(Discriminator)
        1    0.000    0.000    0.000    0.000 core_schema.py:3322(DataclassSchema)
        1    0.000    0.000    0.000    0.000 selectors.py:330(_PollLikeSelector)
        1    0.000    0.000    0.000    0.000 typing.py:2003(_lazy_load_getattr_static)
        1    0.000    0.000    0.000    0.000 _adapters.py:46(SpecPath)
        1    0.000    0.000    0.000    0.000 transaction.py:258(AsyncTransaction)
        1    0.000    0.000    0.000    0.000 json.py:137(_JsonDumper)
        1    0.000    0.000    0.000    0.000 rows.py:38(RowMaker)
        1    0.000    0.000    0.000    0.000 lexer.py:269(Token)
        1    0.000    0.000    0.000    0.000 query.py:3374(BulkUD)
        2    0.000    0.000    0.000    0.000 relationships.py:3469(__init__)
        1    0.000    0.000    0.000    0.000 path_registry.py:519(PropRegistry)
        1    0.000    0.000    0.000    0.000 result.py:213(RMKeyView)
        1    0.000    0.000    0.000    0.000 functions.py:1747(current_date)
        1    0.000    0.000    0.000    0.000 selectable.py:188(_OffsetLimitParam)
        1    0.000    0.000    0.000    0.000 selectable.py:2332(SelectsRows)
        2    0.000    0.000    0.000    0.000 elements.py:1555(<genexpr>)
        1    0.000    0.000    0.000    0.000 coercions.py:466(RoleImpl)
        1    0.000    0.000    0.000    0.000 base.py:337(_JoinedDispatcher)
        1    0.000    0.000    0.000    0.000 queue.py:56(QueueCommon)
        1    0.000    0.000    0.000    0.000 abc.py:52(MetaPathFinder)
        1    0.000    0.000    0.000    0.000 types.py:1134(UuidVersion)
        1    0.000    0.000    0.000    0.000 _local.py:30(_PathParents)
        1    0.000    0.000    0.000    0.000 _discriminated_union.py:100(_ApplyInferredDiscriminator)
        1    0.000    0.000    0.000    0.000 json_schema.py:2194(ValidationsMapping)
        1    0.000    0.000    0.000    0.000 json_schema.py:2440(WithJsonSchema)
        1    0.000    0.000    0.000    0.000 unix_events.py:1477(_UnixDefaultEventLoopPolicy)
        1    0.000    0.000    0.000    0.000 events.py:171(AbstractServer)
        1    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 calendar.py:101(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:137(NewConnectionError)
        1    0.000    0.000    0.000    0.000 bool.py:15(BoolDumper)
        1    0.000    0.000    0.000    0.000 _wrappers.py:50(Int8)
        1    0.000    0.000    0.000    0.000 pq_ctypes.py:1047(PGcancel)
        2    0.000    0.000    0.000    0.000 parser.py:41(__init__)
        1    0.000    0.000    0.000    0.000 visitor.py:16(NodeVisitor)
        1    0.000    0.000    0.000    0.000 templating.py:28(_TemplateResponse)
        1    0.000    0.000    0.000    0.000 state.py:1011(AttributeState)
        1    0.000    0.000    0.000    0.000 context.py:3034(_RawColumnEntity)
        1    0.000    0.000    0.000    0.000 mapped_collection.py:46(_PlainColumnGetter)
        1    0.000    0.000    0.000    0.000 cursor.py:919(ResultFetchStrategy)
        1    0.000    0.000    0.000    0.000 result.py:2118(FrozenResult)
        1    0.000    0.000    0.000    0.000 sqltypes.py:3493(TableValueType)
        1    0.000    0.000    0.000    0.000 lambdas.py:72(LambdaOptions)
        1    0.000    0.000    0.000    0.000 lambdas.py:428(DeferredLambdaElement)
        1    0.000    0.000    0.000    0.000 elements.py:3975(Slice)
        2    0.000    0.000    0.000    0.000 coercions.py:1294(_post_coercion)
        1    0.000    0.000    0.000    0.000 base.py:173(Immutable)
        1    0.000    0.000    0.000    0.000 interfaces.py:346(ReflectedColumn)
        1    0.000    0.000    0.000    0.000 concurrency.py:38(_AsyncUtil)
        1    0.000    0.000    0.000    0.000 routing.py:471(Host)
        1    0.000    0.000    0.000    0.000 routing.py:305(WebSocketRoute)
        1    0.000    0.000    0.000    0.000 types.py:2807(GetPydanticSchema)
        1    0.000    0.000    0.000    0.000 __init__.py:306(PackagePath)
        1    0.000    0.000    0.000    0.000 types.py:2276(PastDatetime)
        1    0.000    0.000    0.000    0.000 types.py:3121(_AllowAnyJson)
        1    0.000    0.000    0.000    0.000 _forward_ref.py:7(PydanticRecursiveRef)
        1    0.000    0.000    0.000    0.000 core_schema.py:3680(UrlSchema)
        1    0.000    0.000    0.000    0.000 charset.py:162(Charset)
        1    0.000    0.000    0.000    0.000 unix_events.py:868(AbstractChildWatcher)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:856(inner)
        1    0.000    0.000    0.000    0.000 ssl.py:185(_TLSAlertType)
        2    0.000    0.000    0.000    0.000 subprocess.py:1101(__enter__)
        1    0.000    0.000    0.000    0.000 _base.py:569(Executor)
        1    0.000    0.000    0.000    0.000 {built-in method time.time_ns}
        1    0.000    0.000    0.000    0.000 sql.py:418(Placeholder)
        1    0.000    0.000    0.000    0.000 asyncpg.py:252(AsyncPgInterval)
        2    0.000    0.000    0.000    0.000 instrumentation.py:246(is_mapped)
        1    0.000    0.000    0.000    0.000 schema.py:3633(IdentityOptions)
        1    0.000    0.000    0.000    0.000 ddl.py:1010(SchemaDropper)
        1    0.000    0.000    0.000    0.000 operators.py:122(Operators)
        1    0.000    0.000    0.000    0.000 visitors.py:497(HasTraversalDispatch)
        2    0.000    0.000    0.000    0.000 traversals.py:407(visit_fromclause_canonical_column_collection)
        1    0.000    0.000    0.000    0.000 routing.py:178(BaseRoute)
        1    0.000    0.000    0.000    0.000 client.py:1454(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 responses.py:212(StreamingResponse)
        1    0.000    0.000    0.000    0.000 __init__.py:22(__init__)
        1    0.000    0.000    0.000    0.000 _functools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datastructures.py:649(State)
        1    0.000    0.000    0.000    0.000 _meta.py:47(SimplePath)
        1    0.000    0.000    0.000    0.000 _import_utils.py:16(import_cached_field_info)
        1    0.000    0.000    0.000    0.000 core_schema.py:3187(DataclassField)
        1    0.000    0.000    0.000    0.000 decoder.py:262(JSONDecoder)
        1    0.000    0.000    0.000    0.000 parse.py:361(_fix_result_transcoding)
        1    0.000    0.000    0.000    0.000 structures.py:13(CaseInsensitiveDict)
        1    0.000    0.000    0.000    0.000 numeric.py:88(Float4Dumper)
        1    0.000    0.000    0.000    0.000 sql.py:109(Composed)
        1    0.000    0.000    0.000    0.000 timed.py:170(TimedSerializer)
        1    0.000    0.000    0.000    0.000 decl_base.py:369(_ImperativeMapperConfig)
        1    0.000    0.000    0.000    0.000 path_registry.py:433(TokenRegistry)
        1    0.000    0.000    0.000    0.000 mapper.py:4410(_ColumnMapping)
        1    0.000    0.000    0.000    0.000 events.py:26(DDLEvents)
        1    0.000    0.000    0.000    0.000 elements.py:787(CompilerColumnElement)
        1    0.000    0.000    0.000    0.000 ddl.py:54(BaseDDLElement)
        1    0.000    0.000    0.000    0.000 interfaces.py:263(_CoreKnownExecutionOptions)
        1    0.000    0.000    0.000    0.000 queue.py:215(_init)
        1    0.000    0.000    0.000    0.000 multipart.py:576(BaseParser)
        1    0.000    0.000    0.000    0.000 _collections.py:27(Pair)
        1    0.000    0.000    0.000    0.000 __init__.py:49(PackageNotFoundError)
        1    0.000    0.000    0.000    0.000 _model_construction.py:667(_DeprecatedFieldDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:72(BaseValidateHandlerProtocol)
        1    0.000    0.000    0.000    0.000 subprocess.py:17(SubprocessStreamProtocol)
        1    0.000    0.000    0.000    0.000 events.py:29(Handle)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 __init__.py:735(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 util.py:576(ORMAdapter)
        1    0.000    0.000    0.000    0.000 tempfile.py:132(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 core_schema.py:3084(ModelSchema)
        1    0.000    0.000    0.000    0.000 util.py:547(ORMStatementAdapter)
        1    0.000    0.000    0.000    0.000 core_schema.py:2398(WithDefaultSchema)
        1    0.000    0.000    0.000    0.000 json.py:211(JsonbBinaryLoader)
        1    0.000    0.000    0.000    0.000 probe.py:6(_HTTP2ProbeCache)
        1    0.000    0.000    0.000    0.000 array.py:220(ListBinaryDumper)
